,질병명,축종,정의,주요증상
27,비인두 협착(Nasopharyngeal stenosis),"개, 고양이","비강내 비도의 거친 얇은 막이 협착되어 비강의 입구가 1-2mm에서 5-6mm까지 좁아지는 질환",다호흡 빠른호흡(빈호흡) 과호흡 머리 목의염발음 마찰음 머리 얼굴뼈노출 머리 얼굴 귀 턱 코의종창 종괴 머리 얼굴 턱 귀의통증 비출혈 코피 상부기도의비정상호흡음 코고는소리 저작곤란 잘씹지못함 점액양비강분비물 장액성 수양성 출혈 응고부전 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물
28,"혈관육종, 비장과 간 (Hemangiosarcoma, spleen and liver)","개, 고양이","내피세포 유래의 매우 침습성이 강한 악성 혈관 종양",1도방실심차단 2도방실심차단 3도방실심완전차단 각차단 좌각차단 우각차단 양각차단 간 비장종대 비장종대 간종대 거리감각불능 거리감각과대및과소 걷다앞으로넘어짐 목적없이배회 구토 급사 돌연사 기립불능 다우너 기침시객혈 눈내부종괴종창 다뇨증 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리양쪽부전마비 무기력 마비 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리통증 뒷다리파행 경직 절름발이 뒷발 발가락종창 종괴 뒷발통증 림프절종대 림프절병증 종창 종괴 머리기울기 머리박치기 머리 얼굴 귀 턱 코의종창 종괴 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 방향감각상실 기억상실 배뇨곤란 복강외부압박에따른통증 복강외부종창 종괴 복강내부종괴 종창 유착 복부팽만 복수 부정맥 불규칙한심박및맥박 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 비정상적인자세 심방빈맥 빈박 선회운동 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방 심방빈맥 빈박 빈박 심방세동 심방조기박동 심실기외수축 다발성혹은단발성 심방빈맥 빈박 심실세동 조동 심음의감소 심잡음 심전도전압감소 안와 안와주위 결막부종 안구종괴 앞다리종창 종괴(관절부/비관절부위포함) 앞다리통증 앞다리파행 경직 절름발이 앞발통증 약맥 소맥 운동기피 쉽게지침 운동실조 협조불능 절뚝거림 넘어짐 음경 포피 고환 음낭의종대 종괴 재채기 적색뇨 갈색뇨 전신파행 경직 절름발이 전신허약 부전마비 마비 점상또는반상출혈 타박상 점막 피부창백 빈혈 청색증 피부나점막이푸름 체중감소 출혈 응고부전 탈수 편측부전마비 폐포음감소 호흡음이없음 피부괴사 가피 괴저 피부또는피하의종창 종괴 결절 피부부종 피부통증 피부의궤양 미란 찰과상 피부홍반 염증 발적 혈뇨 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달 흉부종창 흉부 가슴 늑골 흉골의종괴
29,세균성 뇌막염/뇌막염/뇌막척수염(Bacterial Meningitis/Meningoencephalitis/Meningomyelitis),"개, 고양이"," #수막염 : 수막의 염증 #뇌수막염 : 수막과 뇌의 염증 #수막척수염 : 수막과 척수의 염증 ", 각막의부종 혼탁 갈증이줄어듬 갈증이없음 강직성경련 테타니 거리감각불능 거리감각과대및과소 걷다앞으로넘어짐 목적없이배회 결막 공막의발적 결막 공막의충혈 혈관의이상 과도한침흘림 유연 입에거품 구토 급사 돌연사 기립불능 다우너 눈의통증 안통 다뇨증 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 동공부동 뒷다리경련 근경련 뒷다리양쪽부전마비 무기력 마비 떨림 전율 오한 머리기울기 머리박치기 머리 얼굴 목 혀지각감퇴 무감각증 목 경부 목구멍통증 목소리변성 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 무유증 유즙생산감소 정지 발열 고열 발작 실신 경련 간질발작 허탈 비정상적또는공격적행동 습성이바뀜 비정상적인자세 심방빈맥 빈박 사시 사팔뜨기 사지마비 무기력 산동 확장된동공 선회운동 소리계속지르기 소리가커짐 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 안검연축 경련 안구돌출 안구진탕 안구불수의적운동 앞다리경련 간대성근경련 연하곤란 연하장애 요실금 운동실조 협조불능 절뚝거림 넘어짐 유두부종 시신경크기증가 이동거부 이빨을감 이갈이 저체온증 낮은체온 전방축농 안구전방에지질이나섬유소축적 전신허약 부전마비 마비 제3안검탈출 순막의돌출 지각과민 예민함 과다운동 진전 체중감소 축동 동공축소 탈수 혼수 혼미 후궁반장 흥분 헛소리 광분
30,수두증(Hydrocephalus),"개, 고양이","뇌척수액의 증가로 인한 뇌실의 비정상적인 확장",갈증이줄어듬 갈증이없음 거리감각불능 거리감각과대및과소 거친피모 곤두선털 과도한침흘림 유연 입에거품 구역질 구토 기립불능 다우너 난산 난청 귀머거리 동공부동 떨림 전율 오한 머리기울기 머리박치기 머리 얼굴 귀 턱 코의종창 종괴 목 경부 목구멍통증 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 발육정지 체중증가없음 성장지연 발작 실신 경련 간질발작 허탈 비도비강내섭취물 비정상적또는공격적행동 습성이바뀜 비정상적인자세 빛에대한동공의비정상반응 사시 사팔뜨기 산동 확장된동공 선회운동 소리계속지르기 소리가커짐 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 안구진탕 안구불수의적운동 운동실조 협조불능 절뚝거림 넘어짐 유두부종 시신경크기증가 전신허약 부전마비 마비 진전 후궁반장
31,수신증(Hydronephrosis),"개, 고양이","신장의 신우와 신배가 비정상적으로 확장되어 물이 차있는 질환",다뇨증 다음 많이마심 지나친갈증 단백뇨 무기력 침울 졸림 생기없음 발열 고열 복강내부종괴 종창 유착 복부팽만 빈뇨 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 신장촉진시작음 요통 허리통증 허리통증 점막 피부창백 빈혈 체중감소 탈수 혈뇨
32,수정체이탈(Lens luxation),"개, 고양이","수정체를 지지하고 있는 모양체소대로부터 수정체 피막이 이탈하는 질병",각막의부종 혼탁 동공부동 망막박리 빛에대한동공의비정상반응 산동 확장된동공 수정체이탈 변위
33,수초형성부전증(Hypomyelination),개,"수초형성 결핍을 유발하는 선천적 장애", 거리감각불능 거리감각과대및과소 떨림 전율 오한 운동실조 협조불능 절뚝거림 넘어짐 진전
34,심근병증(Cardiomyopathy),개,"# 심실과 심방의 부정맥, 다양한 정도의 심근 기능장애, 만성 심부전증, 갑작스런 심장정지가 특징으로 질병초기 심실 부정맥이 나타나고 진행되면서 30-40%의 경우 심근 기능장애가 발생하는 질환", 1도방실심차단 3도방실심완전차단 각차단 좌각차단 우각차단 양각차단 간 비장종대 비장종대 간종대 경정맥박동 구토 급사 돌연사 기침 다호흡 빠른호흡(빈호흡) 과호흡 말초정맥확장 경정맥확장 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 복부팽만 복수 부정맥 불규칙한심박및맥박 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 심방빈맥 빈박 설사 하리 수척 건강상태불량 증체율불량 수축기클릭 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방조기박동 심방빈맥 빈박 심잡음 운동기피 쉽게지침 전신허약 부전마비 마비 청색증 피부나점막이푸름 체중감소 폐포음감소 호흡음이없음 호흡곤란 개구호흡 그르렁거림 가쁜호흡
35,확장성 심근병증(Dilated cardiomyopathy),고양이,"발작성 심근 부전과 확장, 울혈성 심부전증의 증상, 심박출량 감소를 특징으로 하는 심실근육의 질환. ", 1도방실심차단 3도방실심완전차단 각차단 좌각차단 우각차단 양각차단 간 비장종대 비장종대 간종대 경정맥박동 구토 급사 돌연사 기침 다호흡 빠른호흡(빈호흡) 과호흡 말초정맥확장 경정맥확장 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 복부팽만 복수 부정맥 불규칙한심박및맥박 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 심방빈맥 빈박 설사 하리 수척 건강상태불량 증체율불량 수축기클릭 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방조기박동 심방빈맥 빈박 심잡음 운동기피 쉽게지침 전신허약 부전마비 마비 청색증 피부나점막이푸름 체중감소 폐포음감소 호흡음이없음 호흡곤란 개구호흡 그르렁거림 가쁜호흡
36,"심장사상충증 (Heartworm disease : HWD, dirofilariasis)","개, 고양이","개, 고양이의 우심실과 폐동맥내에 기생하는 사상충 감염에 의한 질병으로 모기가 중간숙주이며 자충은 말초 혈액에서 관찰됨. ",간 비장종대 비장종대 간종대 거리감각불능 거리감각과대및과소 거친피모 곤두선털 경정맥박동 과도한침흘림 유연 입에거품 구역질 구토 급사 돌연사 기립불능 다우너 기침 기침시객혈 눈의외부또는내부기생충 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 뒷다리양쪽부전마비 무기력 마비 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리지각감퇴 뒷다리무감각증 뒷다리파행 경직 절름발이 뒷발 발가락종창 종괴 말초정맥확장 경정맥확장 머리기울기 머리 얼굴 귀 턱 코의종창 종괴 목부위종창 경부의종괴 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 복강외부압박에따른통증 복강외부종창 종괴 복강내부종괴 종창 유착 복수 분마율동 분마성리듬 분마성리듬 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 비정상적인자세 심방빈맥 빈박 산동 확장된동공 선회운동 설사 하리 소양감 가려움 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 심방빈맥 빈박 심음의감소 심잡음 앞다리반사이상(증가나감소) 앞다리종창 종괴(관절부/비관절부위포함) 약맥 소맥 요통 허리통증 허리통증 운동기피 쉽게지침 운동실조 협조불능 절뚝거림 넘어짐 적색뇨 갈색뇨 전신파행 경직 절름발이 전신허약 부전마비 마비 점상또는반상출혈 타박상 점막 피부창백 빈혈 청색증 피부나점막이푸름 체중감소 출혈 응고부전 탈모 무모증 탈수 피부괴사 가피 괴저 피부구진 피부 귀 다리냉감 피부누관 공동형성 피부또는피하의종창 종괴 결절 피부부종 피부통증 피부 털 깃털이축축함 피부 털의건조 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 혈뇨 혈색소뇨 근색소뇨 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달 흉부종창 흉부 가슴 늑골 흉골의종괴
37,"얼리키아증, 개 (Canine ehrlichiosis)","개, 고양이",전 세계적으로 분포하며 일반적으로 진드기 또는 흡충류 의한 질환, 기립불능 다우너 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리통증 뒷다리파행 경직 절름발이 목 경부 목구멍통증 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 발열 고열비출혈 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리종창 종괴(관절부/비관절부위포함) 앞다리통증 앞다리파행 경직 절름발이 이동거부 전신파행 경직 절름발이 점상또는반상출혈 타박상 체중감소 출혈 응고부전
38,"위 확장 및 염전(Gastric dilation and volvulus syndrome, GDV)",개,"위가 확장되고 종축으로 꼬여 생리적, 병리적 변화를 일으키는 질병",과도한침흘림 유연 입에거품 구강점막의울혈 홍반 발적 구역질 구토 기립불능 다우너 다호흡 빠른호흡(빈호흡) 과호흡 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 복강외부압박에따른통증 복강내부종괴 종창 유착 복명(장연동음)의증가 복부팽만 부정맥 불규칙한심박및맥박 심방빈맥 빈박 산통 복통 수척 건강상태불량 증체율불량 식도폐쇄 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방세동 심실기외수축 다발성혹은단발성 심실 심방빈맥 빈박 심실세동 조동 약맥 소맥 이동거부 저체온증 낮은체온 전신허약 부전마비 마비 지각과민 예민함 과다운동 점막 피부창백 빈혈 체중감소 탈수 피(P)파결손 피부 귀 다리냉감 핑사운드(복부양측) 핑사운드(우측) 핑사운드(좌측) 호흡곤란 개구호흡 그르렁거림 가쁜호흡
